Category,Name,Price,Description,Base Calories,Max Calories
Sides,Large Cheese Fries,5.99,Our Seasoned Fries topped with creamy jalapeño cheese sauce.,1020.0,
Sides,Louisiana Voodoo Fries,5.99,"Our hot and crispy fries, hand-tossed in our signature Cajun seasoning and drizzled with our cheese sauce and House Made Ranch.
",680.0,
Sides,Large Louisiana Voodoo Fries,6.99,"Our hot and crispy fries, hand-tossed in our signature Cajun seasoning and drizzled with our cheese sauce and House Made Ranch.
",1180.0,
Sides,Buffalo Ranch Fries,5.99,"Our hot and crispy Seasoned Fries, topped with our Original Hot sauce and drizzled with our House Made Ranch.
",610.0,
Sides,Large Buffalo Ranch Fries,6.99,"Our hot and crispy Seasoned Fries, topped with our Original Hot sauce and drizzled with our House Made Ranch.
",1070.0,
Sides,5 pc Cajun Fried Corn,4.59,"Wingstop's spin on corn on the cob.  Served with Fry Seasoning and our signature Cajun seasoning.
",200.0,
Sides,10 pc Cajun Fried Corn,5.59,"Wingstop's spin on corn on the cob.  Served with Fry Seasoning and our signature Cajun seasoning.
",400.0,
Sides,Veggie Sticks,2.99,"Fresh, chilled celery and carrot sticks.",25.0,
Sides,Large Veggie Sticks,4.99,"Fresh, chilled celery and carrot sticks.",50.0,
Dips & Flavors,Regular Ranch,2.49,Regular Homemade Ranch,320.0,
Dips & Flavors,Large Ranch,5.99,Large Homemade Ranch,1620.0,
Dips & Flavors,Regular Bleu Cheese,2.49,Regular Bleu Cheese,330.0,
Dips & Flavors,Large Bleu Cheese,5.99,Large Bleu Cheese,1630.0,
Dips & Flavors,Regular Honey Mustard,2.49,Regular Honey Mustard,390.0,
Dips & Flavors,Large Honey Mustard,5.99,Large Honey Mustard,1950.0,
Dips & Flavors,Regular Cheese Sauce,2.49,Regular Cheese Sauce,120.0,
Dips & Flavors,Medium Cheese Sauce,3.19,Medium Jalapeño cheese sauce.,230.0,
Dips & Flavors,Large Cheese Sauce,5.19,Large Jalapeño cheese sauce.,620.0,
Dips & Flavors,Side of Flavor,2.49,Add a side of your favorite wing flavor.,5.0,260.0
Drinks,20 oz Soft Drink,3.49,20 oz Soft Drink,2.0,285.0
Drinks,32 oz Soft Drink,4.29,32 oz Soft Drink,4.0,455.0
Drinks,52 oz Simply Lemonade®,5.79,52 oz Simply Lemonade®,,
Drinks,Dasani Bottled Water®,3.49,"DASANI® combines filtration with added minerals to create a fresh, clean, and premium tasting water that is pure and delicious. 16.9 oz bottle.",,
Desserts,Triple Chocolate Chunk Brownie,3.49,The perfect blend of chocolate chips and chocolate chunks..,430.0,
Utensils & Condiments,Utensils & Condiments,0.0,Optional Utensils & Condiments,,
Add Ons,5 Classic Wings,5.99,5 Classic (Bone-In) Wings with 1 flavor,350.0,500.0
Add Ons,5 Boneless Wings,4.0,5 Boneless Wings with 1 flavor,400.0,550.0
Add Ons,2 Crispy Tenders,3.0,2 NEW Crispy Tenders with 1 flavor,240.0,360.0
