restaurant,name,price
Jack in the Box (337 G St.),3PC French Toast Sticks Platter w/ Bacon & Sausage Combo,$10.63
Jack in the Box (337 G St.),3PC French Toast Sticks Platter w/ Bacon Combo,$10.13
Jack in the Box (337 G St.),3PC French Toast Sticks Platter w/ Sausage Combo,$10.13
Jack in the Box (337 G St.),Grande Sausage Burrito Combo,$10.25
Jack in the Box (337 G St.),Supreme Croissant Combo,$9.13
Jack in the Box (337 G St.),Sausage Croissant Combo,$9.00
Jack in the Box (337 G St.),Supreme Sourdough Breakfast Sandwich Combo,$8.38
Jack in the Box (337 G St.),Meat Lovers Burrito Combo,$10.25
Jack in the Box (337 G St.),Loaded Breakfast Sandwich Combo,$10.38
Jack in the Box (337 G St.),Extreme Sausage® Sandwich Combo,$9.13
Jack in the Box (337 G St.),Ultimate Breakfast Sandwich Combo,$10.13
Jack in the Box (337 G St.),Sausage Breakfast Jack® Combo,$6.38
Jack in the Box (337 G St.),Breakfast Jack® Combo,$5.88
Jack in the Box (337 G St.),Build Your Own Munchie Meal,$10.89
Jack in the Box (337 G St.),Sauced & Loaded Tiny Tacos,$6.25
Jack in the Box (337 G St.),Classic Tiny Tacos,$5.00
Jack in the Box (337 G St.),(2) Tacos,$2.49
Jack in the Box (337 G St.),Classic Crispy Jack Wrap,$4.11
Jack in the Box (337 G St.),Stuffed Jalapenos (7),$8.11
Jack in the Box (337 G St.),Stuffed Jalapenos (3),$5.49
Jack in the Box (337 G St.),Curly Fries,$5.74
Jack in the Box (337 G St.),French Fries,$5.24
Jack in the Box (337 G St.),Jumbo Egg Rolls (3),$8.11
Jack in the Box (337 G St.),Jumbo Egg Roll (1),$4.49
Jack in the Box (337 G St.),Oreo® Shake,Priced by add-ons
Jack in the Box (337 G St.),Vanilla Shake,Priced by add-ons
Jack in the Box (337 G St.),Chocolate Shake,Priced by add-ons
Jack in the Box (337 G St.),Mini Churros (5),$4.24
Jack in the Box (337 G St.),Cheesecake,$4.74
Jack in the Box (337 G St.),Chocolate Overload™ Cake,$4.74
Jack in the Box (337 G St.),Coca-Cola®,Priced by add-ons
Jack in the Box (337 G St.),Coca-Cola® Zero Sugar,Priced by add-ons
Jack in the Box (337 G St.),Diet Coke®,Priced by add-ons
Jack in the Box (337 G St.),Sprite®,Priced by add-ons
Jack in the Box (337 G St.),Fanta®,Priced by add-ons
Jack in the Box (337 G St.),Dr Pepper®,Priced by add-ons
Jack in the Box (337 G St.),Diet Dr Pepper®,Priced by add-ons
Jack in the Box (337 G St.),Barq's® Root Beer,Priced by add-ons
Jack in the Box (337 G St.),Peace Tea®,Priced by add-ons
Jack in the Box (337 G St.),Peace Tea® Zero Sugar,Priced by add-ons
