Category,Name,Price,Description,Base Calories,Max Calories
Game Day Munchies,12pc Classic Crispy Boneless Wings,11.99,"Classic? Yes. Plain? How dare you. These12 Classic, 100% all-white meat Crispy Boneless Wings bring the flavor, not the boring.? ",670,
Game Day Munchies,12pc Smoke Show Smoky BBQ Crispy Boneless Wings,11.99,12pc 100% all-white meat Crispy Boneless Wings tossed in Smoke Show Smoky BBQ sauce. A smoky sweet BBQ serenade for your tastebuds that you won't forget.,1020,
Jack's Munchies Under $4,Sourdough Grilled Cheese,2.49,"Melty American cheese on toasted sourdough bread. So simple, yet delicious, what more could you ask for?",370,
Jack's Munchies Under $4,Jr. Jumbo Jack® ,3.19,"100% beef seasoned as it grills, tomato, pickle, lettuce, onions, ketchup & mayo. Don't let the 'Jr.' fool you. It packs a wallop.",400,
Jack's Munchies Under $4,Jr. Bacon Cheeseburger,3.49,"100% beef seasoned as it grills, hickory smoked bacon, melty American cheese, ketchup & mayo. Just don't call this burger 'junior' to its face.",470,
Jack's Munchies Under $4,Jr. Cheeseburger,2.99,"100% beef seasoned as it grills with melty American cheese, one pickle, ketchup & mustard on a toasted buttery bakery bun. Try and resist. We dare you.",,
Jack's Munchies Under $4,Jr. Chicken Sandwich,2.99,"Breaded chicken with lettuce & real mayonnaise on a toasted buttery bakery bun. So simple, so good, it sorta makes you wanna cry. ",510,
Jack's Munchies Under $4,3PC Classic French Toast Sticks,3.49,"These French Toast Sticks with syrup are the perfect accessory to any meal. Breakfast, lunch, or dinner -- they're perfect. ",250,
Jack's Munchies Under $4,4pc Chicken Nuggets,2.99,"Warm, tender chicken nuggets. These things are like candy. Tender, crispy chicken candy. ",,
Jack's Munchies Under $4,Small Curly Fries,4.19,"Perfectly seasoned, crispy curly fries. The type of item you're supposed to share, but we both know how this is going to go. ",,
Jack's Munchies Under $4,Small Fries,3.79,"Lightly salted, real potatoes fried to crispy perfection and served hot. The absolutely classic, perfect accompaniment to everything else on this menu. ",,
Jack's Munchies Under $4,2 Tacos for $0.99,0.99,"2 crunchy tacos with melty American cheese, shredded lettuce & our signature taco sauce. With tacos this delicious, it's always smart to carry a spare.",340,
Jack's Munchies Under $4,Small Coca-Cola®,3.29,Cool off with a refreshing Coca-Cola®.,210,
Jack's Munchies Under $4,Small Coca-Cola® Zero Sugar,3.29,Enjoy the refreshment of Coca-Cola® Zero Sugar.,,
Jack's Munchies Under $4,Small Diet Coke®,3.29,Cool off with a refreshing Diet Coke®.,,
Jack's Munchies Under $4,Small Sprite®,3.29,Cool off with a refreshing Sprite®.,200,
Jack's Munchies Under $4,Small Fanta® ,3.29,Cool off with a refreshing Fanta®.,210,
Jack's Munchies Under $4,Small Dr Pepper®,3.29,Cool off with a refreshing Dr Pepper®.,190,
Jack's Munchies Under $4,Small Diet Dr Pepper® ,3.29,,,
Jack's Munchies Under $4,Small Barq's® Root Beer,3.29,Cool off with a refreshing BARQ'S® Root Beer.,,
Jack's Munchies Under $4,Small Peace Tea®,3.29,Refreshing iced tea with a blend of bold flavors.,210,
Jack's Munchies Under $4,Small Peace Tea® Zero Sugar,3.29,Refreshing iced tea with a blend of bold flavors and zero sugar.,,
Burger Combos,Big Smashed Jack™ Combo ,15.78,"Two 1/4lb smashed patties made w/ 100% seasoned beef, cheese, pickles, lettuce, onion, & Jack’s Boss sauce on a triple brioche bun, plus fries & drink.",,
Burger Combos,Bacon & Swiss Buttery Smashed Jack™ Combo,15.28,"Melted garlic herb butter on our new ¼ lb. smashed patty, hickory smoked bacon, Swiss cheese & bacon mayo on our signature brioche bun, plus fries & drink.",,
Burger Combos,Buttery Smashed Jack™ Combo,14.28,"Melted garlic herb butter on our new ¼ lb. smashed patty, natural Swiss cheese, lettuce, tomato, ketchup & mayo on a signature brioche bun + fries & drink.",,
Burger Combos,Bacon Double Smashed Jack™ Combo,15.78,"Two 1/4lb smashed patties, hickory smoked bacon, melty American cheese, pickles, grilled onions & all-new Boss Sauce on a brioche bun, plus fries & drink. ",,
Burger Combos,Classic Smashed Jack™ Combo ,13.38,"1/4lb smashed patty, melty American cheese, pickles, grilled onions & all-new Boss Sauce on a brioche bun, plus fries & drink. Trust us, this is real good.",,
Burger Combos,Bacon Ultimate Cheeseburger™ Combo,14.28,"2x 100% beef seasoned as it grills, hickory smoked bacon, melty American & Swiss style cheese, ketchup, mustard & mayo on a buttery bun plus fries & drink.",,
Burger Combos,Ultimate Cheeseburger™ Combo,13.58,"2x 100% beef seasoned as it grills, melty American & Swiss style cheeses, ketchup, mustard & mayo on a buttery bakery bun, plus fries & a drink.",,
